,text,labels
0,A 63 - year - old woman with no known cardiac history presented with a sudden onset of dyspnea requiring intubation and ventilatory support out of hospital .,O O B-Age Age I-Age Age I-Age Age I-Age Age I-Age Age B-Sex Sex O O B-History History I-History History I-History History I-History History B-Clinical_event Clinical_event O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description O O B-Sign_symptom Sign_symptom O O B-Therapeutic_procedure Therapeutic_procedure O O B-Therapeutic_procedure Therapeutic_procedure I-Therapeutic_procedure Therapeutic_procedure B-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location I-Nonbiological_location Nonbiological_location O
1,"She denied preceding symptoms of chest discomfort , palpitations , syncope or infection .",O O O O O O O O O O O B-Biological_structure Biological_structure B-Sign_symptom Sign_symptom O O B-Sign_symptom Sign_symptom O O B-Sign_symptom Sign_symptom O O B-Disease_disorder Disease_disorder O
2,"The patient was afebrile and normotensive , with a sinus tachycardia of 140 beats / min. .",O O O O O O O B-Sign_symptom Sign_symptom O O B-Sign_symptom Sign_symptom O O O O O O B-Detailed_description Detailed_description B-Sign_symptom Sign_symptom O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O
3,"The cardiorespiratory examination was remarkable for an elevated jugular venous pressure at the angle of the jaw , a left - sided third heart sound and bibasilar crackles in both lung fields .",O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O O O O O B-Lab_value Lab_value B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O O O O B-Detailed_description Detailed_description I-Detailed_description Detailed_description I-Detailed_description Detailed_description B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O O B-Detailed_description Detailed_description B-Sign_symptom Sign_symptom O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure O O O
4,"The complete blood cell count , electrolytes and cardiac biomarkers were within normal limits .",O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O
5,"An initial electrocardiogram revealed ST depression in leads V2 to V6 , suggestive of anterolateral ischemia ( Figure 1 ) .",O O O O O B-Diagnostic_procedure Diagnostic_procedure O O B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O O O B-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder O O O O O O O O O
6,A chest radiograph demonstrated pulmonary vascular congestion consistent with a diagnosis of pulmonary edema ( Figure 2 ) .,O O O B-Biological_structure Biological_structure B-Diagnostic_procedure Diagnostic_procedure O O B-Biological_structure Biological_structure B-Sign_symptom Sign_symptom I-Sign_symptom Sign_symptom O O O O O O O O O O B-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder O O O O O O O O O
7,"An echocardiographic examination revealed normal cardiac dimensions , normal wall motion and mild diastolic dysfunction with an early diastolic to late diastolic transmitral ratio of less than 1 , prolonged deceleration time ( 250 ms ) and a reduced early diastolic annular velocity of the lateral mitral valve annulus .",O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Severity Severity B-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder O O O O B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value I-Lab_value Lab_value O O B-Lab_value Lab_value B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O B-Lab_value Lab_value I-Lab_value Lab_value O O O O O O B-Lab_value Lab_value B-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure I-Diagnostic_procedure Diagnostic_procedure O O O O B-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure I-Biological_structure Biological_structure O
8,"Following aggressive diuresis and requiring minimal ventilatory support , the patient was extubated one day following her initial presentation .",O O O B-Lab_value Lab_value B-Sign_symptom Sign_symptom O O O O B-Lab_value Lab_value B-Therapeutic_procedure Therapeutic_procedure I-Therapeutic_procedure Therapeutic_procedure O O O O O O O O B-Therapeutic_procedure Therapeutic_procedure B-Date Date I-Date Date I-Date Date O O O O O O O
9,"Within 1 h of extubation , the patient developed recurrent pulmonary edema clinically and radiographically , requiring mechanical ventilation .",O B-Time Time I-Time Time I-Time Time O O B-Coreference Coreference O O O O O O O O B-Detailed_description Detailed_description B-Disease_disorder Disease_disorder I-Disease_disorder Disease_disorder O O O O B-Diagnostic_procedure Diagnostic_procedure O O O O B-Therapeutic_procedure Therapeutic_procedure I-Therapeutic_procedure Therapeutic_procedure O
